"Pozdrowienia!","Saluti!"
"Dziękuję za pomoc.","Grazie per l'aiuto."
"Gdzie jest najbliższa stacja kolejowa?","Dove si trova la stazione ferroviaria più vicina?"
"Ile kosztuje bilet na autobus?","Quanto costa il biglietto dell'autobus?"
"Czy mówisz po angielsku?","Parli inglese?"
"Potrzebuję pomocy.","Ho bisogno di aiuto."
"Gdzie jest toaleta?","Dove si trova il bagno?"
"Jestem zgubiony/a.","Mi sono perso/a."
"Czy możesz mi podać wskazówki?","Mi può dare delle indicazioni?"
"Czy przyjmujecie karty kredytowe?","Accettate carte di credito?"
"Chciałbym zarezerwować stolik dla dwóch osób.","Vorrei prenotare un tavolo per due persone."
"Która jest godzina?","Che ora è?"
"Czy mogę zrobić zdjęcie?","Posso fare una foto?"
"Jaka jest dzisiaj prognoza pogody?","Qual è la previsione del tempo per oggi?"
"Gdzie znajdę przystanek autobusowy?","Dove posso trovare la fermata dell'autobus?"
"Czy mogę płacić gotówką?","Posso pagare in contanti?"
"Czy jest tu w pobliżu dobra restauracja?","C'è un buon ristorante nelle vicinanze?"
"Jak się nazywasz?","Come ti chiami?"
"Chciałbym zarezerwować pokój na jedną noc.","Vorrei prenotare una camera per una notte."
"Czy jest tu sklep spożywczy?","C'è un negozio di alimentari qui?"
"Czy można tu wynająć rower?","Si può noleggiare una bicicletta qui?"
"Gdzie jest najbliższy bankomat?","Dove si trova il bancomat più vicino?"
"Czy mogę dostać rachunek, proszę?","Posso avere il conto, per favore?"
"Jaka jest specjalność tego miejsca?","Qual è la specialità di questo posto?"
"Czy tu akceptują walutę obcą?","Accettano valuta straniera qui?"
"Która linia metra prowadzi do centrum miasta?","Quale linea della metro porta al centro della città?"
"Czy tu można korzystać z Wi-Fi?","C'è Wi-Fi qui?"
"Proszę mnie obudzić o siódmej rano.","Mi può svegliare alle sette del mattino, per favore?"
"Czy można tu zapłacić kartą kredytową?","Si può pagare con carta di credito qui?"
"Czy tu jest pralnia samoobsługowa?","C'è una lavanderia self-service qui?"
"Gdzie mogę kupić bilety na zwiedzanie?","Dove posso comprare i biglietti per le visite turistiche?"
"Czy jest tu apteka?","C'è una farmacia qui?"
"Jak dojść na dworzec autobusowy?","Come si arriva alla stazione degli autobus?"
"Czy tu jest centrum informacji turystycznej?","C'è un centro informazioni turistiche qui?"
"Chciałbym zarezerwować bilet na pociąg do Rzymu.","Vorrei prenotare un biglietto del treno per Roma."
"Czy mogę tu zjeść śniadanie?","Posso fare colazione qui?"
"Gdzie mogę znaleźć taksówkę?","Dove posso trovare un taxi?"
"Który autobus prowadzi do muzeum?","Quale autobus va al museo?"
"Czy tu jest bezpiecznie spacerować po zmroku?","È sicuro passeggiare qui di notte?"
"Która linia tramwajowa prowadzi do centrum handlowego?","Quale linea del tram va al centro commerciale?"
"Jaki jest numer alarmowy?","Qual è il numero di emergenza?"
"Czy można tu wynająć samochód?","Si può noleggiare un'auto qui?"
"Czy tu jest basen publiczny?","C'è una piscina pubblica qui?"
"Który peron jest dla pociągu do Wenecji?","Quale binario è per il treno per Venezia?"
"Chciałbym zamówić kawę.","Vorrei ordinare un caffè."
"Czy tu jest dostęp do prądu dla laptopa?","C'è una presa di corrente per il laptop qui?"
"Czy można tu korzystać z Internetu na komórce?","Si può navigare su Internet con il cellulare qui?"

